"Package","Version Installed","VulnerabilityID","Severity"
"libldap-2.4-2","2.4.44+dfsg-5+deb9u3","CVE-2015-3276","Negligible"
"libldap-common","2.4.44+dfsg-5+deb9u3","CVE-2015-3276","Negligible"
"libc-bin","2.24-11+deb9u4","CVE-2015-8985","Negligible"
"libc-l10n","2.24-11+deb9u4","CVE-2015-8985","Negligible"
"libc6","2.24-11+deb9u4","CVE-2015-8985","Negligible"
"locales","2.24-11+deb9u4","CVE-2015-8985","Negligible"
"multiarch-support","2.24-11+deb9u4","CVE-2015-8985","Negligible"
"libxslt1.1","1.1.29-2.1+deb9u2","CVE-2015-9019","Negligible"
"libc-bin","2.24-11+deb9u4","CVE-2016-10228","Low"
"libc-l10n","2.24-11+deb9u4","CVE-2016-10228","Low"
"libc6","2.24-11+deb9u4","CVE-2016-10228","Low"
"locales","2.24-11+deb9u4","CVE-2016-10228","Low"
"multiarch-support","2.24-11+deb9u4","CVE-2016-10228","Low"
"libc-bin","2.24-11+deb9u4","CVE-2016-10739","Medium"
"libc-l10n","2.24-11+deb9u4","CVE-2016-10739","Medium"
"libc6","2.24-11+deb9u4","CVE-2016-10739","Medium"
"locales","2.24-11+deb9u4","CVE-2016-10739","Medium"
"multiarch-support","2.24-11+deb9u4","CVE-2016-10739","Medium"
"bsdutils","1:2.29.2-1+deb9u1","CVE-2016-2779","High"
"libblkid1","2.29.2-1+deb9u1","CVE-2016-2779","High"
"libfdisk1","2.29.2-1+deb9u1","CVE-2016-2779","High"
"libmount1","2.29.2-1+deb9u1","CVE-2016-2779","High"
"libsmartcols1","2.29.2-1+deb9u1","CVE-2016-2779","High"
"libuuid1","2.29.2-1+deb9u1","CVE-2016-2779","High"
"mount","2.29.2-1+deb9u1","CVE-2016-2779","High"
"util-linux","2.29.2-1+deb9u1","CVE-2016-2779","High"
"coreutils","8.26-3","CVE-2016-2781","Low"
"libxml2","2.9.4+dfsg1-2.2+deb9u2","CVE-2016-9318","Medium"
"libgc1c2","1:7.4.2-8","CVE-2016-9427","Critical"
"libsystemd0","232-25+deb9u12","CVE-2017-1000082","Negligible"
"libudev1","232-25+deb9u12","CVE-2017-1000082","Negligible"
"libpcre3","2:8.39-3","CVE-2017-11164","Negligible"
"krb5-locales","1.15-1+deb9u1","CVE-2017-11462","Low"
"libgssapi-krb5-2","1.15-1+deb9u1","CVE-2017-11462","Low"
"libk5crypto3","1.15-1+deb9u1","CVE-2017-11462","Low"
"libkrb5-3","1.15-1+deb9u1","CVE-2017-11462","Low"
"libkrb5support0","1.15-1+deb9u1","CVE-2017-11462","Low"
"libc-bin","2.24-11+deb9u4","CVE-2017-12132","Medium"
"libc-l10n","2.24-11+deb9u4","CVE-2017-12132","Medium"
"libc6","2.24-11+deb9u4","CVE-2017-12132","Medium"
"locales","2.24-11+deb9u4","CVE-2017-12132","Medium"
"multiarch-support","2.24-11+deb9u4","CVE-2017-12132","Medium"
"login","1:4.4-4.1","CVE-2017-12424","Critical"
"passwd","1:4.4-4.1","CVE-2017-12424","Critical"
"libsqlite3-0","3.16.2-5+deb9u1","CVE-2017-13685","Negligible"
"libidn11","1.33-1","CVE-2017-14062","Critical"
"libldap-2.4-2","2.4.44+dfsg-5+deb9u3","CVE-2017-14159","Negligible"
"libldap-common","2.4.44+dfsg-5+deb9u3","CVE-2017-14159","Negligible"
"krb5-locales","1.15-1+deb9u1","CVE-2017-15088","Negligible"
"libgssapi-krb5-2","1.15-1+deb9u1","CVE-2017-15088","Negligible"
"libk5crypto3","1.15-1+deb9u1","CVE-2017-15088","Negligible"
"libkrb5-3","1.15-1+deb9u1","CVE-2017-15088","Negligible"
"libkrb5support0","1.15-1+deb9u1","CVE-2017-15088","Negligible"
"libpcre3","2:8.39-3","CVE-2017-16231","Negligible"
"libxml2","2.9.4+dfsg1-2.2+deb9u2","CVE-2017-16932","High"
"libpython2.7","2.7.13-2+deb9u3","CVE-2017-17522","Negligible"
"libpython2.7-minimal","2.7.13-2+deb9u3","CVE-2017-17522","Negligible"
"libpython2.7-stdlib","2.7.13-2+deb9u3","CVE-2017-17522","Negligible"
"libldap-2.4-2","2.4.44+dfsg-5+deb9u3","CVE-2017-17740","Negligible"
"libldap-common","2.4.44+dfsg-5+deb9u3","CVE-2017-17740","Negligible"
"coreutils","8.26-3","CVE-2017-18018","Negligible"
"libsystemd0","232-25+deb9u12","CVE-2017-18078","Negligible"
"libudev1","232-25+deb9u12","CVE-2017-18078","Negligible"
"libxml2","2.9.4+dfsg1-2.2+deb9u2","CVE-2017-18258","Medium"
"login","1:4.4-4.1","CVE-2017-20002","High"
"passwd","1:4.4-4.1","CVE-2017-20002","High"
"libxml2","2.9.4+dfsg1-2.2+deb9u2","CVE-2017-5130","High"
"libxml2","2.9.4+dfsg1-2.2+deb9u2","CVE-2017-5969","Medium"
"libpcre3","2:8.39-3","CVE-2017-7245","Negligible"
"libpcre3","2:8.39-3","CVE-2017-7246","Negligible"
"libxml2","2.9.4+dfsg1-2.2+deb9u2","CVE-2017-8872","Critical"
"cron","3.0pl1-128+deb9u1","CVE-2017-9525","Medium"
"libc-bin","2.24-11+deb9u4","CVE-2018-1000001","High"
"libc-l10n","2.24-11+deb9u4","CVE-2018-1000001","High"
"libc6","2.24-11+deb9u4","CVE-2018-1000001","High"
"locales","2.24-11+deb9u4","CVE-2018-1000001","High"
"multiarch-support","2.24-11+deb9u4","CVE-2018-1000001","High"
"libpython2.7","2.7.13-2+deb9u3","CVE-2018-1000030","Negligible"
"libpython2.7-minimal","2.7.13-2+deb9u3","CVE-2018-1000030","Negligible"
"libpython2.7-stdlib","2.7.13-2+deb9u3","CVE-2018-1000030","Negligible"
"libtasn1-6","4.10-1.1+deb9u1","CVE-2018-1000654","Negligible"
"dirmngr","2.1.18-8~deb9u4","CVE-2018-1000858","High"
"gnupg","2.1.18-8~deb9u4","CVE-2018-1000858","High"
"gnupg-agent","2.1.18-8~deb9u4","CVE-2018-1000858","High"
"gpgv","2.1.18-8~deb9u4","CVE-2018-1000858","High"
"gcc-6-base","6.3.0-18+deb9u1","CVE-2018-12886","High"
"libgcc1","1:6.3.0-18+deb9u1","CVE-2018-12886","High"
"libstdc++6","6.3.0-18+deb9u1","CVE-2018-12886","High"
"libxml2","2.9.4+dfsg1-2.2+deb9u2","CVE-2018-14404","High"
"libxml2","2.9.4+dfsg1-2.2+deb9u2","CVE-2018-14567","Medium"
"libgnutls30","3.5.8-5+deb9u4","CVE-2018-16868","Medium"
"libhogweed4","3.3-1+b2","CVE-2018-16869","Medium"
"libnettle6","3.3-1+b2","CVE-2018-16869","Medium"
"libsystemd0","232-25+deb9u12","CVE-2018-16888","Low"
"libudev1","232-25+deb9u12","CVE-2018-16888","Low"
"libncurses5","6.0+20161126-1+deb9u2","CVE-2018-19211","Low"
"libncursesw5","6.0+20161126-1+deb9u2","CVE-2018-19211","Low"
"libtinfo5","6.0+20161126-1+deb9u2","CVE-2018-19211","Low"
"ncurses-base","6.0+20161126-1+deb9u2","CVE-2018-19211","Low"
"ncurses-bin","6.0+20161126-1+deb9u2","CVE-2018-19211","Low"
"krb5-locales","1.15-1+deb9u1","CVE-2018-20217","Medium"
"libgssapi-krb5-2","1.15-1+deb9u1","CVE-2018-20217","Medium"
"libk5crypto3","1.15-1+deb9u1","CVE-2018-20217","Medium"
"libkrb5-3","1.15-1+deb9u1","CVE-2018-20217","Medium"
"libkrb5support0","1.15-1+deb9u1","CVE-2018-20217","Medium"
"libsqlite3-0","3.16.2-5+deb9u1","CVE-2018-20346","High"
"tar","1.29b-1.1","CVE-2018-20482","Medium"
"libsqlite3-0","3.16.2-5+deb9u1","CVE-2018-20506","High"
"libc-bin","2.24-11+deb9u4","CVE-2018-20796","Negligible"
"libc-l10n","2.24-11+deb9u4","CVE-2018-20796","Negligible"
"libc6","2.24-11+deb9u4","CVE-2018-20796","Negligible"
"locales","2.24-11+deb9u4","CVE-2018-20796","Negligible"
"multiarch-support","2.24-11+deb9u4","CVE-2018-20796","Negligible"
"libpython2.7","2.7.13-2+deb9u3","CVE-2018-20852","Medium"
"libpython2.7-minimal","2.7.13-2+deb9u3","CVE-2018-20852","Medium"
"libpython2.7-stdlib","2.7.13-2+deb9u3","CVE-2018-20852","Medium"
"zlib1g","1:1.2.8.dfsg-5","CVE-2018-25032","High"
"krb5-locales","1.15-1+deb9u1","CVE-2018-5709","Negligible"
"libgssapi-krb5-2","1.15-1+deb9u1","CVE-2018-5709","Negligible"
"libk5crypto3","1.15-1+deb9u1","CVE-2018-5709","Negligible"
"libkrb5-3","1.15-1+deb9u1","CVE-2018-5709","Negligible"
"libkrb5support0","1.15-1+deb9u1","CVE-2018-5709","Negligible"
"krb5-locales","1.15-1+deb9u1","CVE-2018-5710","Medium"
"libgssapi-krb5-2","1.15-1+deb9u1","CVE-2018-5710","Medium"
"libk5crypto3","1.15-1+deb9u1","CVE-2018-5710","Medium"
"libkrb5-3","1.15-1+deb9u1","CVE-2018-5710","Medium"
"libkrb5support0","1.15-1+deb9u1","CVE-2018-5710","Medium"
"krb5-locales","1.15-1+deb9u1","CVE-2018-5729","Medium"
"libgssapi-krb5-2","1.15-1+deb9u1","CVE-2018-5729","Medium"
"libk5crypto3","1.15-1+deb9u1","CVE-2018-5729","Medium"
"libkrb5-3","1.15-1+deb9u1","CVE-2018-5729","Medium"
"libkrb5support0","1.15-1+deb9u1","CVE-2018-5729","Medium"
"krb5-locales","1.15-1+deb9u1","CVE-2018-5730","Low"
"libgssapi-krb5-2","1.15-1+deb9u1","CVE-2018-5730","Low"
"libk5crypto3","1.15-1+deb9u1","CVE-2018-5730","Low"
"libkrb5-3","1.15-1+deb9u1","CVE-2018-5730","Low"
"libkrb5support0","1.15-1+deb9u1","CVE-2018-5730","Low"
"libc-bin","2.24-11+deb9u4","CVE-2018-6485","Critical"
"libc-l10n","2.24-11+deb9u4","CVE-2018-6485","Critical"
"libc6","2.24-11+deb9u4","CVE-2018-6485","Critical"
"locales","2.24-11+deb9u4","CVE-2018-6485","Critical"
"multiarch-support","2.24-11+deb9u4","CVE-2018-6485","Critical"
"libc-bin","2.24-11+deb9u4","CVE-2018-6551","Critical"
"libc-l10n","2.24-11+deb9u4","CVE-2018-6551","Critical"
"libc6","2.24-11+deb9u4","CVE-2018-6551","Critical"
"locales","2.24-11+deb9u4","CVE-2018-6551","Critical"
"multiarch-support","2.24-11+deb9u4","CVE-2018-6551","Critical"
"libgcrypt20","1.7.6-2+deb9u3","CVE-2018-6829","Negligible"
"libsystemd0","232-25+deb9u12","CVE-2018-6954","Low"
"libudev1","232-25+deb9u12","CVE-2018-6954","Low"
"login","1:4.4-4.1","CVE-2018-7169","Low"
"passwd","1:4.4-4.1","CVE-2018-7169","Low"
"libsqlite3-0","3.16.2-5+deb9u1","CVE-2018-8740","High"
"dirmngr","2.1.18-8~deb9u4","CVE-2018-9234","Low"
"gnupg","2.1.18-8~deb9u4","CVE-2018-9234","Low"
"gnupg-agent","2.1.18-8~deb9u4","CVE-2018-9234","Low"
"gpgv","2.1.18-8~deb9u4","CVE-2018-9234","Low"
"libc-bin","2.24-11+deb9u4","CVE-2019-1010022","Negligible"
"libc-l10n","2.24-11+deb9u4","CVE-2019-1010022","Negligible"
"libc6","2.24-11+deb9u4","CVE-2019-1010022","Negligible"
"locales","2.24-11+deb9u4","CVE-2019-1010022","Negligible"
"multiarch-support","2.24-11+deb9u4","CVE-2019-1010022","Negligible"
"libc-bin","2.24-11+deb9u4","CVE-2019-1010023","Negligible"
"libc-l10n","2.24-11+deb9u4","CVE-2019-1010023","Negligible"
"libc6","2.24-11+deb9u4","CVE-2019-1010023","Negligible"
"locales","2.24-11+deb9u4","CVE-2019-1010023","Negligible"
"multiarch-support","2.24-11+deb9u4","CVE-2019-1010023","Negligible"
"libc-bin","2.24-11+deb9u4","CVE-2019-1010024","Negligible"
"libc-l10n","2.24-11+deb9u4","CVE-2019-1010024","Negligible"
"libc6","2.24-11+deb9u4","CVE-2019-1010024","Negligible"
"locales","2.24-11+deb9u4","CVE-2019-1010024","Negligible"
"multiarch-support","2.24-11+deb9u4","CVE-2019-1010024","Negligible"
"libc-bin","2.24-11+deb9u4","CVE-2019-1010025","Negligible"
"libc-l10n","2.24-11+deb9u4","CVE-2019-1010025","Negligible"
"libc6","2.24-11+deb9u4","CVE-2019-1010025","Negligible"
"locales","2.24-11+deb9u4","CVE-2019-1010025","Negligible"
"multiarch-support","2.24-11+deb9u4","CVE-2019-1010025","Negligible"
"bzip2","1.0.6-8.1","CVE-2019-12900","Critical"
"libbz2-1.0","1.0.6-8.1","CVE-2019-12900","Critical"
"libgcrypt20","1.7.6-2+deb9u3","CVE-2019-13627","Medium"
"dirmngr","2.1.18-8~deb9u4","CVE-2019-14855","Low"
"gnupg","2.1.18-8~deb9u4","CVE-2019-14855","Low"
"gnupg-agent","2.1.18-8~deb9u4","CVE-2019-14855","Low"
"gpgv","2.1.18-8~deb9u4","CVE-2019-14855","Low"
"libssl1.1","1.1.0l-1~deb9u1","CVE-2019-1551","Medium"
"openssl","1.1.0l-1~deb9u1","CVE-2019-1551","Medium"
"libpython2.7","2.7.13-2+deb9u3","CVE-2019-16056","High"
"libpython2.7-minimal","2.7.13-2+deb9u3","CVE-2019-16056","High"
"libpython2.7-stdlib","2.7.13-2+deb9u3","CVE-2019-16056","High"
"libsqlite3-0","3.16.2-5+deb9u1","CVE-2019-16168","Medium"
"libpython2.7","2.7.13-2+deb9u3","CVE-2019-16935","Medium"
"libpython2.7-minimal","2.7.13-2+deb9u3","CVE-2019-16935","Medium"
"libpython2.7-stdlib","2.7.13-2+deb9u3","CVE-2019-16935","Medium"
"libntlm0","1.4-8","CVE-2019-17455","Critical"
"liblz4-1","0.0~r131-2+b1","CVE-2019-17543","Low"
"libncurses5","6.0+20161126-1+deb9u2","CVE-2019-17594","Low"
"libncursesw5","6.0+20161126-1+deb9u2","CVE-2019-17594","Low"
"libtinfo5","6.0+20161126-1+deb9u2","CVE-2019-17594","Low"
"ncurses-base","6.0+20161126-1+deb9u2","CVE-2019-17594","Low"
"ncurses-bin","6.0+20161126-1+deb9u2","CVE-2019-17594","Low"
"libncurses5","6.0+20161126-1+deb9u2","CVE-2019-17595","Low"
"libncursesw5","6.0+20161126-1+deb9u2","CVE-2019-17595","Low"
"libtinfo5","6.0+20161126-1+deb9u2","CVE-2019-17595","Low"
"ncurses-base","6.0+20161126-1+deb9u2","CVE-2019-17595","Low"
"ncurses-bin","6.0+20161126-1+deb9u2","CVE-2019-17595","Low"
"bash","4.4-5","CVE-2019-18276","Negligible"
"libpython2.7","2.7.13-2+deb9u3","CVE-2019-18348","Medium"
"libpython2.7-minimal","2.7.13-2+deb9u3","CVE-2019-18348","Medium"
"libpython2.7-stdlib","2.7.13-2+deb9u3","CVE-2019-18348","Medium"
"libmailutils5","1:3.1.1-1","CVE-2019-18862","Negligible"
"mailutils","1:3.1.1-1","CVE-2019-18862","Negligible"
"mailutils-common","1:3.1.1-1","CVE-2019-18862","Negligible"
"libc-bin","2.24-11+deb9u4","CVE-2019-19126","Low"
"libc-l10n","2.24-11+deb9u4","CVE-2019-19126","Low"
"libc6","2.24-11+deb9u4","CVE-2019-19126","Low"
"locales","2.24-11+deb9u4","CVE-2019-19126","Low"
"multiarch-support","2.24-11+deb9u4","CVE-2019-19126","Low"
"login","1:4.4-4.1","CVE-2019-19882","Negligible"
"passwd","1:4.4-4.1","CVE-2019-19882","Negligible"
"libxml2","2.9.4+dfsg1-2.2+deb9u2","CVE-2019-19956","High"
"libsqlite3-0","3.16.2-5+deb9u1","CVE-2019-20218","High"
"libbsd0","0.8.3-1","CVE-2019-20367","Critical"
"libsystemd0","232-25+deb9u12","CVE-2019-20386","Negligible"
"libudev1","232-25+deb9u12","CVE-2019-20386","Negligible"
"libxml2","2.9.4+dfsg1-2.2+deb9u2","CVE-2019-20388","High"
"libpcre3","2:8.39-3","CVE-2019-20838","Negligible"
"libpython2.7","2.7.13-2+deb9u3","CVE-2019-20907","High"
"libpython2.7-minimal","2.7.13-2+deb9u3","CVE-2019-20907","High"
"libpython2.7-stdlib","2.7.13-2+deb9u3","CVE-2019-20907","High"
"libc-bin","2.24-11+deb9u4","CVE-2019-25013","Medium"
"libc-l10n","2.24-11+deb9u4","CVE-2019-25013","Medium"
"libc6","2.24-11+deb9u4","CVE-2019-25013","Medium"
"locales","2.24-11+deb9u4","CVE-2019-25013","Medium"
"multiarch-support","2.24-11+deb9u4","CVE-2019-25013","Medium"
"libgnutls30","3.5.8-5+deb9u4","CVE-2019-3829","High"
"libsystemd0","232-25+deb9u12","CVE-2019-3843","High"
"libudev1","232-25+deb9u12","CVE-2019-3843","High"
"libsystemd0","232-25+deb9u12","CVE-2019-3844","High"
"libudev1","232-25+deb9u12","CVE-2019-3844","High"
"libpython2.7","2.7.13-2+deb9u3","CVE-2019-5010","High"
"libpython2.7-minimal","2.7.13-2+deb9u3","CVE-2019-5010","High"
"libpython2.7-stdlib","2.7.13-2+deb9u3","CVE-2019-5010","High"
"e2fslibs","1.43.4-2+deb9u1","CVE-2019-5188","Medium"
"e2fsprogs","1.43.4-2+deb9u1","CVE-2019-5188","Medium"
"libcomerr2","1.43.4-2+deb9u1","CVE-2019-5188","Medium"
"libss2","1.43.4-2+deb9u1","CVE-2019-5188","Medium"
"libsqlite3-0","3.16.2-5+deb9u1","CVE-2019-5827","High"
"libc-bin","2.24-11+deb9u4","CVE-2019-6488","Negligible"
"libc-l10n","2.24-11+deb9u4","CVE-2019-6488","Negligible"
"libc6","2.24-11+deb9u4","CVE-2019-6488","Negligible"
"locales","2.24-11+deb9u4","CVE-2019-6488","Negligible"
"multiarch-support","2.24-11+deb9u4","CVE-2019-6488","Negligible"
"libc-bin","2.24-11+deb9u4","CVE-2019-7309","Negligible"
"libc-l10n","2.24-11+deb9u4","CVE-2019-7309","Negligible"
"libc6","2.24-11+deb9u4","CVE-2019-7309","Negligible"
"locales","2.24-11+deb9u4","CVE-2019-7309","Negligible"
"multiarch-support","2.24-11+deb9u4","CVE-2019-7309","Negligible"
"libdb5.3","5.3.28-12+deb9u1","CVE-2019-8457","Critical"
"libsqlite3-0","3.16.2-5+deb9u1","CVE-2019-8457","Critical"
"file","1:5.30-1+deb9u3","CVE-2019-8905","Medium"
"libmagic-mgc","1:5.30-1+deb9u3","CVE-2019-8905","Medium"
"libmagic1","1:5.30-1+deb9u3","CVE-2019-8905","Medium"
"file","1:5.30-1+deb9u3","CVE-2019-8907","High"
"libmagic-mgc","1:5.30-1+deb9u3","CVE-2019-8907","High"
"libmagic1","1:5.30-1+deb9u3","CVE-2019-8907","High"
"libc-bin","2.24-11+deb9u4","CVE-2019-9169","Critical"
"libc-l10n","2.24-11+deb9u4","CVE-2019-9169","Critical"
"libc6","2.24-11+deb9u4","CVE-2019-9169","Critical"
"locales","2.24-11+deb9u4","CVE-2019-9169","Critical"
"multiarch-support","2.24-11+deb9u4","CVE-2019-9169","Critical"
"libc-bin","2.24-11+deb9u4","CVE-2019-9192","Negligible"
"libc-l10n","2.24-11+deb9u4","CVE-2019-9192","Negligible"
"libc6","2.24-11+deb9u4","CVE-2019-9192","Negligible"
"locales","2.24-11+deb9u4","CVE-2019-9192","Negligible"
"multiarch-support","2.24-11+deb9u4","CVE-2019-9192","Negligible"
"libpython2.7","2.7.13-2+deb9u3","CVE-2019-9636","Critical"
"libpython2.7-minimal","2.7.13-2+deb9u3","CVE-2019-9636","Critical"
"libpython2.7-stdlib","2.7.13-2+deb9u3","CVE-2019-9636","Critical"
"libpython2.7","2.7.13-2+deb9u3","CVE-2019-9674","Negligible"
"libpython2.7-minimal","2.7.13-2+deb9u3","CVE-2019-9674","Negligible"
"libpython2.7-stdlib","2.7.13-2+deb9u3","CVE-2019-9674","Negligible"
"cron","3.0pl1-128+deb9u1","CVE-2019-9704","Medium"
"cron","3.0pl1-128+deb9u1","CVE-2019-9705","Medium"
"cron","3.0pl1-128+deb9u1","CVE-2019-9706","Medium"
"libpython2.7","2.7.13-2+deb9u3","CVE-2019-9740","Medium"
"libpython2.7-minimal","2.7.13-2+deb9u3","CVE-2019-9740","Medium"
"libpython2.7-stdlib","2.7.13-2+deb9u3","CVE-2019-9740","Medium"
"tar","1.29b-1.1","CVE-2019-9923","Negligible"
"libsqlite3-0","3.16.2-5+deb9u1","CVE-2019-9936","High"
"libsqlite3-0","3.16.2-5+deb9u1","CVE-2019-9937","High"
"libpython2.7","2.7.13-2+deb9u3","CVE-2019-9947","Medium"
"libpython2.7-minimal","2.7.13-2+deb9u3","CVE-2019-9947","Medium"
"libpython2.7-stdlib","2.7.13-2+deb9u3","CVE-2019-9947","Medium"
"libpython2.7","2.7.13-2+deb9u3","CVE-2019-9948","Critical"
"libpython2.7-minimal","2.7.13-2+deb9u3","CVE-2019-9948","Critical"
"libpython2.7-stdlib","2.7.13-2+deb9u3","CVE-2019-9948","Critical"
"libc-bin","2.24-11+deb9u4","CVE-2020-10029","Medium"
"libc-l10n","2.24-11+deb9u4","CVE-2020-10029","Medium"
"libc6","2.24-11+deb9u4","CVE-2020-10029","Medium"
"locales","2.24-11+deb9u4","CVE-2020-10029","Medium"
"multiarch-support","2.24-11+deb9u4","CVE-2020-10029","Medium"
"libicu57","57.1-6+deb9u3","CVE-2020-10531","High"
"libperl5.24","5.24.1-3+deb9u6","CVE-2020-10543","High"
"perl","5.24.1-3+deb9u6","CVE-2020-10543","High"
"perl-base","5.24.1-3+deb9u6","CVE-2020-10543","High"
"perl-modules-5.24","5.24.1-3+deb9u6","CVE-2020-10543","High"
"libperl5.24","5.24.1-3+deb9u6","CVE-2020-10878","High"
"perl","5.24.1-3+deb9u6","CVE-2020-10878","High"
"perl-base","5.24.1-3+deb9u6","CVE-2020-10878","High"
"perl-modules-5.24","5.24.1-3+deb9u6","CVE-2020-10878","High"
"libsqlite3-0","3.16.2-5+deb9u1","CVE-2020-11655","High"
"libsqlite3-0","3.16.2-5+deb9u1","CVE-2020-11656","Negligible"
"libldap-2.4-2","2.4.44+dfsg-5+deb9u3","CVE-2020-12243","High"
"libldap-common","2.4.44+dfsg-5+deb9u3","CVE-2020-12243","High"
"libperl5.24","5.24.1-3+deb9u6","CVE-2020-12723","High"
"perl","5.24.1-3+deb9u6","CVE-2020-12723","High"
"perl-base","5.24.1-3+deb9u6","CVE-2020-12723","High"
"perl-modules-5.24","5.24.1-3+deb9u6","CVE-2020-12723","High"
"exim4","4.89-2+deb9u6","CVE-2020-12783","High"
"exim4-base","4.89-2+deb9u6","CVE-2020-12783","High"
"exim4-config","4.89-2+deb9u6","CVE-2020-12783","High"
"exim4-daemon-light","4.89-2+deb9u6","CVE-2020-12783","High"
"libsqlite3-0","3.16.2-5+deb9u1","CVE-2020-13434","Medium"
"libsystemd0","232-25+deb9u12","CVE-2020-13529","Negligible"
"libudev1","232-25+deb9u12","CVE-2020-13529","Negligible"
"libsqlite3-0","3.16.2-5+deb9u1","CVE-2020-13630","High"
"libsqlite3-0","3.16.2-5+deb9u1","CVE-2020-13632","Medium"
"libsystemd0","232-25+deb9u12","CVE-2020-13776","Negligible"
"libudev1","232-25+deb9u12","CVE-2020-13776","Negligible"
"libsqlite3-0","3.16.2-5+deb9u1","CVE-2020-13871","High"
"libpcre3","2:8.39-3","CVE-2020-14155","Medium"
"libmariadbclient18","10.1.44-0+deb9u1","CVE-2020-14765","Medium"
"libmariadbclient18","10.1.44-0+deb9u1","CVE-2020-14812","Medium"
"libmariadbclient18","10.1.44-0+deb9u1","CVE-2020-15180","Critical"
"libldap-2.4-2","2.4.44+dfsg-5+deb9u3","CVE-2020-15719","Negligible"
"libldap-common","2.4.44+dfsg-5+deb9u3","CVE-2020-15719","Negligible"
"libperl5.24","5.24.1-3+deb9u6","CVE-2020-16156","High"
"perl","5.24.1-3+deb9u6","CVE-2020-16156","High"
"perl-base","5.24.1-3+deb9u6","CVE-2020-16156","High"
"perl-modules-5.24","5.24.1-3+deb9u6","CVE-2020-16156","High"
"libsystemd0","232-25+deb9u12","CVE-2020-1712","High"
"libudev1","232-25+deb9u12","CVE-2020-1712","High"
"libc-bin","2.24-11+deb9u4","CVE-2020-1751","High"
"libc-l10n","2.24-11+deb9u4","CVE-2020-1751","High"
"libc6","2.24-11+deb9u4","CVE-2020-1751","High"
"locales","2.24-11+deb9u4","CVE-2020-1751","High"
"multiarch-support","2.24-11+deb9u4","CVE-2020-1751","High"
"libc-bin","2.24-11+deb9u4","CVE-2020-1752","High"
"libc-l10n","2.24-11+deb9u4","CVE-2020-1752","High"
"libc6","2.24-11+deb9u4","CVE-2020-1752","High"
"locales","2.24-11+deb9u4","CVE-2020-1752","High"
"multiarch-support","2.24-11+deb9u4","CVE-2020-1752","High"
"libssl1.1","1.1.0l-1~deb9u1","CVE-2020-1971","Medium"
"openssl","1.1.0l-1~deb9u1","CVE-2020-1971","Medium"
