Container,Image,CVE,NetDep,FunDep,Cost_Defender,Cost_Attacker,Risk
db,postgres:9.4,CVE-2017-16932,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2017-9525,5,3,0.8,9.2,47.2
db,postgres:9.4,CVE-2020-1971,5,3,1.8,7.8,28.8
db,postgres:9.4,CVE-2018-14567,5,3,2.2,7.2,28.8
db,postgres:9.4,CVE-2020-28011,5,3,1.8,8.2,47.2
db,postgres:9.4,CVE-2016-10228,5,3,2.2,7.8,28.8
db,postgres:9.4,CVE-2017-12424,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2019-20386,5,3,0.7,9.1,11.2
db,postgres:9.4,CVE-2016-9318,5,3,2.2,8.2,28.8
db,postgres:9.4,CVE-2019-8907,5,3,3.8,7.2,47.2
db,postgres:9.4,CVE-2020-13529,5,3,2.6,8.4,32.0
db,postgres:9.4,CVE-2021-36086,5,3,2.2,8.2,11.2
db,postgres:9.4,CVE-2021-45346,5,3,3.8,7.2,11.2
db,postgres:9.4,CVE-2020-28026,5,3,3.9,6.1,47.2
db,postgres:9.4,CVE-2021-35942,5,3,3.1,6.1,41.6
db,postgres:9.4,CVE-2022-34903,5,3,2.6,7.8,33.6
db,postgres:9.4,CVE-2018-1000858,5,3,3.8,7.2,47.2
db,postgres:9.4,CVE-2019-18276,5,3,2.2,8.2,47.2
db,postgres:9.4,CVE-2018-1000030,5,3,0.8,9.0,20.0
db,postgres:9.4,CVE-2019-5010,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2022-27448,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2018-20506,5,3,2.2,7.8,47.2
db,postgres:9.4,CVE-2017-14062,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2019-17543,5,3,1.8,7.8,47.2
db,postgres:9.4,CVE-2020-28014,5,3,1.8,8.2,33.6
db,postgres:9.4,CVE-2013-4392,5,3,3.4,6.6,39.2
db,postgres:9.4,CVE-2019-8905,5,3,2.8,8.2,20.0
db,postgres:9.4,CVE-2022-23990,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2021-3516,5,3,2.2,8.2,47.2
db,postgres:9.4,CVE-2020-28020,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2020-36221,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2019-1010023,5,3,3.8,7.2,47.2
db,postgres:9.4,CVE-2022-25308,5,3,2.2,8.2,47.2
db,postgres:9.4,CVE-2017-18078,5,3,2.8,8.2,47.2
db,postgres:9.4,CVE-2020-14812,5,3,1.2,8.8,28.8
db,postgres:9.4,CVE-2022-0778,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2015-3276,5,3,10.0,0.0,23.2
db,postgres:9.4,CVE-2018-6954,5,3,2.2,8.2,47.2
db,postgres:9.4,CVE-2019-17594,5,3,2.2,8.2,27.2
db,postgres:9.4,CVE-2022-2274,5,3,3.9,6.1,47.2
db,postgres:9.4,CVE-2022-25236,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2022-25309,5,3,2.2,8.2,28.8
db,postgres:9.4,CVE-2020-12243,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2022-23852,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2019-3844,5,3,1.4,8.2,47.2
db,postgres:9.4,CVE-2022-27444,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2022-27380,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2020-10531,5,3,2.2,7.2,47.2
db,postgres:9.4,CVE-2018-12886,5,3,3.2,7.8,47.2
db,postgres:9.4,CVE-2013-0340,5,3,9.6,1.4,51.2
db,postgres:9.4,CVE-2020-1752,5,3,0.8,9.0,47.2
db,postgres:9.4,CVE-2022-27447,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2021-3997,5,3,2.2,8.2,28.8
db,postgres:9.4,CVE-2022-31621,5,3,1.4,8.2,28.8
db,postgres:9.4,CVE-2018-20852,5,3,4.9,6.1,11.2
db,postgres:9.4,CVE-2019-9192,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2022-27382,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2021-46143,5,3,2.2,8.2,47.2
db,postgres:9.4,CVE-2020-16156,5,3,2.8,8.2,47.2
db,postgres:9.4,CVE-2022-1304,5,3,1.8,8.2,47.2
db,postgres:9.4,CVE-2019-9169,5,3,3.9,6.1,47.2
db,postgres:9.4,CVE-2022-27452,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2022-29155,5,3,4.9,6.1,47.2
db,postgres:9.4,CVE-2020-36226,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2020-2814,5,3,1.2,8.8,28.8
db,postgres:9.4,CVE-2020-28009,5,3,1.8,8.2,47.2
db,postgres:9.4,CVE-2020-6096,5,3,2.2,7.8,47.2
db,postgres:9.4,CVE-2013-4235,5,3,1.0,9.0,28.8
db,postgres:9.4,CVE-2018-20217,5,3,1.3,8.4,28.8
db,postgres:9.4,CVE-2020-28023,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2021-3518,5,3,2.2,7.2,47.2
db,postgres:9.4,CVE-2020-14155,5,3,3.1,6.1,11.2
db,postgres:9.4,CVE-2019-3829,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2020-10543,5,3,3.1,6.1,33.6
db,postgres:9.4,CVE-2019-5188,5,3,1.8,9.2,47.2
db,postgres:9.4,CVE-2018-1000654,5,3,2.8,8.2,28.8
db,postgres:9.4,CVE-2019-9636,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2022-1292,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2018-9234,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2021-2022,5,3,0.7,9.3,28.8
db,postgres:9.4,CVE-2018-1000001,5,3,2.8,8.2,47.2
db,postgres:9.4,CVE-2019-16935,5,3,3.8,7.2,21.6
db,postgres:9.4,CVE-2019-18862,5,3,1.8,8.2,47.2
db,postgres:9.4,CVE-2020-24977,5,3,3.9,6.1,20.0
db,postgres:9.4,CVE-2022-22823,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2018-25032,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2021-3517,5,3,3.1,6.1,37.6
db,postgres:9.4,CVE-2022-0563,5,3,1.4,8.2,28.8
db,postgres:9.4,CVE-2019-20388,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2020-36222,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2019-13627,5,3,1.0,9.0,41.6
db,postgres:9.4,CVE-2019-17595,5,3,3.0,7.2,20.0
db,postgres:9.4,CVE-2021-3537,5,3,1.8,7.8,28.8
db,postgres:9.4,CVE-2018-20796,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2021-23841,5,3,1.8,7.8,28.8
db,postgres:9.4,CVE-2021-36085,5,3,2.2,8.2,11.2
db,postgres:9.4,CVE-2022-22822,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2017-11462,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2022-25315,5,3,3.9,6.1,47.2
db,postgres:9.4,CVE-2020-15180,5,3,1.8,7.8,48.0
db,postgres:9.4,CVE-2022-27387,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2022-29458,5,3,2.8,8.2,41.6
db,postgres:9.4,CVE-2019-1551,5,3,3.1,6.1,11.2
db,postgres:9.4,CVE-2019-9740,5,3,3.8,7.2,21.6
db,postgres:9.4,CVE-2018-5729,5,3,1.0,8.8,27.2
db,postgres:9.4,CVE-2018-14404,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2022-29824,5,3,3.0,7.2,28.8
db,postgres:9.4,CVE-2020-36223,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2020-12783,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2020-13776,5,3,0.6,9.2,47.2
db,postgres:9.4,CVE-2020-28012,5,3,1.8,8.2,47.2
db,postgres:9.4,CVE-2020-28022,5,3,3.9,6.1,47.2
db,postgres:9.4,CVE-2019-20907,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2018-5710,5,3,2.8,7.2,28.8
db,postgres:9.4,CVE-2021-3177,5,3,3.9,6.1,47.2
db,postgres:9.4,CVE-2018-8740,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2021-39537,5,3,3.0,7.2,47.2
db,postgres:9.4,CVE-2022-25235,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2017-17522,5,3,2.8,7.2,47.2
db,postgres:9.4,CVE-2019-16168,5,3,2.2,7.2,28.8
db,postgres:9.4,CVE-2021-33910,5,3,2.2,8.2,28.8
db,postgres:9.4,CVE-2022-23219,5,3,3.9,6.1,47.2
db,postgres:9.4,CVE-2022-25313,5,3,2.2,7.2,28.8
db,postgres:9.4,CVE-2020-1712,5,3,1.4,8.2,47.2
db,postgres:9.4,CVE-2020-15719,5,3,1.3,8.4,20.0
db,postgres:9.4,CVE-2020-28008,5,3,1.8,8.2,47.2
db,postgres:9.4,CVE-2021-4209,5,3,2.2,7.2,28.8
db,postgres:9.4,CVE-2022-27379,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2022-27445,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2019-9705,5,3,1.4,8.2,28.8
db,postgres:9.4,CVE-2022-27381,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2007-6755,5,3,8.6,1.4,39.2
db,postgres:9.4,CVE-2013-7040,5,3,8.6,1.4,23.2
db,postgres:9.4,CVE-2016-2781,5,3,2.0,8.0,32.0
db,postgres:9.4,CVE-2004-0971,5,3,3.1,6.1,23.2
db,postgres:9.4,CVE-2019-12900,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2019-20838,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2019-9923,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2020-28021,5,3,2.8,7.2,47.2
db,postgres:9.4,CVE-2019-18348,5,3,2.8,7.2,21.6
db,postgres:9.4,CVE-2019-6488,5,3,1.8,8.2,47.2
db,postgres:9.4,CVE-2020-36225,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2020-36229,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2021-40528,5,3,2.6,7.8,28.8
db,postgres:9.4,CVE-2020-28025,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2021-27645,5,3,0.8,9.0,11.2
db,postgres:9.4,CVE-2018-5709,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2021-23840,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2019-16056,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2022-27458,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2018-5730,5,3,1.0,8.8,20.0
db,postgres:9.4,CVE-2018-16868,5,3,0.4,9.6,37.6
db,postgres:9.4,CVE-2020-27618,5,3,2.2,8.2,28.8
db,postgres:9.4,CVE-2022-22824,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2016-2779,5,3,1.8,8.2,47.2
db,postgres:9.4,CVE-2019-20218,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2011-4116,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2020-1751,5,3,0.8,9.0,47.2
db,postgres:9.4,CVE-2022-27446,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2017-14159,5,3,0.8,9.0,28.8
db,postgres:9.4,CVE-2022-22826,5,3,2.2,7.2,47.2
db,postgres:9.4,CVE-2017-18018,5,3,2.0,9.0,28.8
db,postgres:9.4,CVE-2021-4189,5,3,3.1,6.1,11.2
db,postgres:9.4,CVE-2022-1271,5,3,2.2,7.2,47.2
db,postgres:9.4,CVE-2019-14855,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2019-19882,5,3,2.2,8.2,47.2
db,postgres:9.4,CVE-2020-28017,5,3,3.9,6.1,47.2
db,postgres:9.4,CVE-2020-36227,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2021-38371,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2022-27456,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2021-4160,5,3,1.8,7.8,28.8
db,postgres:9.4,CVE-2021-33560,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2022-31622,5,3,1.4,8.2,28.8
db,postgres:9.4,CVE-2017-20002,5,3,2.8,8.2,47.2
db,postgres:9.4,CVE-2019-25013,5,3,1.8,7.8,28.8
db,postgres:9.4,CVE-2020-29361,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2021-36087,5,3,2.2,8.2,11.2
db,postgres:9.4,CVE-2019-7309,5,3,2.8,8.2,28.8
db,postgres:9.4,CVE-2021-43618,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2021-3712,5,3,1.8,7.8,41.6
db,postgres:9.4,CVE-2020-25710,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2018-16888,5,3,0.8,9.0,28.8
db,postgres:9.4,CVE-2022-22825,5,3,2.2,7.2,47.2
db,postgres:9.4,CVE-2005-2541,5,3,10.0,0.0,80.0
db,postgres:9.4,CVE-2019-1010024,5,3,4.9,6.1,11.2
db,postgres:9.4,CVE-2019-1010025,5,3,4.9,6.1,11.2
db,postgres:9.4,CVE-2021-27212,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2019-17455,5,3,4.9,6.1,47.2
db,postgres:9.4,CVE-2020-2752,5,3,1.6,8.4,28.8
db,postgres:9.4,CVE-2022-23308,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2020-28019,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2020-28196,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2021-3326,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2020-13871,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2022-23218,5,3,3.9,6.1,47.2
db,postgres:9.4,CVE-2016-9427,5,3,3.9,6.1,47.2
db,postgres:9.4,CVE-2020-11655,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2022-1664,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2020-10029,5,3,2.2,8.2,28.8
db,postgres:9.4,CVE-2018-7169,5,3,4.9,6.1,11.2
db,postgres:9.4,CVE-2018-19211,5,3,2.8,8.2,28.8
db,postgres:9.4,CVE-2020-28007,5,3,1.8,8.2,47.2
db,postgres:9.4,CVE-2020-8492,5,3,3.0,7.2,28.8
db,postgres:9.4,CVE-2019-9936,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2017-13685,5,3,1.8,8.2,28.8
db,postgres:9.4,CVE-2021-27928,5,3,2.2,8.8,47.2
db,postgres:9.4,CVE-2022-27449,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2019-8457,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2020-11656,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2020-13632,5,3,1.4,8.2,28.8
db,postgres:9.4,CVE-2022-27451,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2022-31623,5,3,1.4,8.2,28.8
db,postgres:9.4,CVE-2018-6551,5,3,3.9,6.1,47.2
db,postgres:9.4,CVE-2020-12723,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2018-16869,5,3,0.5,9.5,37.6
db,postgres:9.4,CVE-2017-7245,5,3,1.8,8.2,47.2
db,postgres:9.4,CVE-2019-9674,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2020-21913,5,3,2.2,8.2,28.8
db,postgres:9.4,CVE-2020-36224,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2020-10878,5,3,3.1,6.1,37.6
db,postgres:9.4,CVE-2020-25692,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2022-2068,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2016-10739,5,3,1.4,8.2,27.2
db,postgres:9.4,CVE-2020-2812,5,3,1.2,8.8,28.8
db,postgres:9.4,CVE-2021-33574,5,3,4.9,6.1,47.2
db,postgres:9.4,CVE-2021-3580,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2010-4756,5,3,8.5,2.0,23.2
db,postgres:9.4,CVE-2021-37600,5,3,2.2,8.2,28.8
db,postgres:9.4,CVE-2015-9019,5,3,3.1,6.1,11.2
db,postgres:9.4,CVE-2020-13630,5,3,0.8,9.0,47.2
db,postgres:9.4,CVE-2022-27378,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2017-15088,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2017-17740,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2018-6485,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2017-16231,5,3,2.8,8.2,28.8
db,postgres:9.4,CVE-2017-7246,5,3,1.8,8.2,47.2
db,postgres:9.4,CVE-2019-20367,5,3,4.9,6.1,41.6
db,postgres:9.4,CVE-2019-19956,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2020-25709,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2011-3374,5,3,3.2,7.8,11.2
db,postgres:9.4,CVE-2022-27383,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2015-20107,5,3,3.0,7.2,37.6
db,postgres:9.4,CVE-2021-3541,5,3,2.2,7.2,28.8
db,postgres:9.4,CVE-2022-27386,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2020-14765,5,3,2.8,7.2,28.8
db,postgres:9.4,CVE-2020-29362,5,3,3.9,6.1,11.2
db,postgres:9.4,CVE-2020-36230,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2021-3520,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2019-9948,5,3,3.9,6.1,41.6
db,postgres:9.4,CVE-2017-5130,5,3,2.8,7.2,47.2
db,postgres:9.4,CVE-2022-27385,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2018-6829,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2019-19126,5,3,1.4,8.2,11.2
db,postgres:9.4,CVE-2019-5827,5,3,3.0,7.2,47.2
db,postgres:9.4,CVE-2021-37750,5,3,2.2,7.2,28.8
db,postgres:9.4,CVE-2015-8985,5,3,1.8,7.8,28.8
db,postgres:9.4,CVE-2020-13434,5,3,2.2,8.2,28.8
db,postgres:9.4,CVE-2020-28015,5,3,1.8,8.2,47.2
